32 32
1 0 0
3 0 784
4 0 240
5 0 20
1 1 0
3 1 784
4 1 240
5 0 20
1 2 0
3 2 784
4 2 240
5 0 20
1 3 0
3 3 784
4 3 240
5 0 20
1 4 0
3 4 784
4 4 240
5 0 20
1 5 0
3 5 784
4 5 240
5 0 20
1 6 0
3 6 784
4 6 240
5 0 20
1 7 0
3 7 784
4 7 240
5 0 20
1 8 0
3 8 784
4 8 240
5 0 20
1 9 0
3 9 784
4 9 240
5 0 20
1 10 0
3 10 784
4 10 240
5 0 20
1 11 0
3 11 784
4 11 240
5 0 20
1 12 0
3 12 784
4 12 240
5 0 20
1 13 0
3 13 784
4 13 240
5 0 20
1 14 0
3 14 784
4 14 240
5 0 20
1 15 0
3 15 784
4 15 240
5 0 20
1 16 0
3 16 784
4 16 240
5 0 20
1 17 0
3 17 784
4 17 240
5 0 20
1 18 0
3 18 784
4 18 240
5 0 20
1 19 0
3 19 784
4 19 240
5 0 20
1 20 0
3 20 784
4 20 240
5 0 20
1 21 0
3 21 784
4 21 240
5 0 20
1 22 0
3 22 784
4 22 240
5 0 20
1 23 0
3 23 784
4 23 240
5 0 20
1 24 0
3 24 784
4 24 240
5 0 20
1 25 0
3 25 784
4 25 240
5 0 20
1 26 0
3 26 784
4 26 240
5 0 20
1 27 0
3 27 784
4 27 240
5 0 20
1 28 0
3 28 784
4 28 240
5 0 20
1 29 0
3 29 784
4 29 240
5 0 20
1 30 0
3 30 784
4 30 240
5 0 20
1 31 0
3 31 784
4 31 240
5 0 20
12 0 0
7 0 0
4 0 1031
5 0 100
4 1 1031
5 0 100
4 2 1031
5 0 100
4 3 1031
5 0 100
4 4 1031
5 0 100
4 5 1031
5 0 100
4 6 1031
5 0 100
4 7 1031
5 0 100
4 8 1031
5 0 100
4 9 1031
5 0 100
4 10 1031
5 0 100
4 11 1031
5 0 100
4 12 1031
5 0 100
4 13 1031
5 0 100
4 14 1031
5 0 100
4 15 1031
5 0 100
4 16 1031
5 0 100
4 17 1031
5 0 100
4 18 1031
5 0 100
4 19 1031
5 0 100
4 20 1031
5 0 100
4 21 1031
5 0 100
4 22 1031
5 0 100
4 23 1031
5 0 100
4 24 1031
5 0 100
4 25 1031
5 0 100
4 26 1031
5 0 100
4 27 1031
5 0 100
4 28 1031
5 0 100
4 29 1031
5 0 100
4 30 1031
5 0 100
4 31 1031
5 0 100
12 0 0
7 0 0
10 0 0
7 0 0
11 0 0
7 0 0
4 0 7848
5 0 500
4 1 7848
5 0 500
4 2 7848
5 0 500
4 3 7848
5 0 500
4 4 7848
5 0 500
4 5 7848
5 0 500
4 6 7848
5 0 500
4 7 7848
5 0 500
4 8 7848
5 0 500
4 9 7848
5 0 500
4 10 7848
5 0 500
4 11 7848
5 0 500
4 12 7848
5 0 500
4 13 7848
5 0 500
4 14 7848
5 0 500
4 15 7848
5 0 500
4 16 7848
5 0 500
4 17 7848
5 0 500
4 18 7848
5 0 500
4 19 7848
5 0 500
4 20 7848
5 0 500
4 21 7848
5 0 500
4 22 7848
5 0 500
4 23 7848
5 0 500
4 24 7848
5 0 500
4 25 7848
5 0 500
4 26 7848
5 0 500
4 27 7848
5 0 500
4 28 7848
5 0 500
4 29 7848
5 0 500
4 30 7848
5 0 500
4 31 7848
5 0 500
12 0 0
7 0 0
10 0 0
7 0 0
11 0 0
7 0 0
4 0 7848
5 0 500
4 1 7848
5 0 500
4 2 7848
5 0 500
4 3 7848
5 0 500
4 4 7848
5 0 500
4 5 7848
5 0 500
4 6 7848
5 0 500
4 7 7848
5 0 500
4 8 7848
5 0 500
4 9 7848
5 0 500
4 10 7848
5 0 500
4 11 7848
5 0 500
4 12 7848
5 0 500
4 13 7848
5 0 500
4 14 7848
5 0 500
4 15 7848
5 0 500
4 16 7848
5 0 500
4 17 7848
5 0 500
4 18 7848
5 0 500
4 19 7848
5 0 500
4 20 7848
5 0 500
4 21 7848
5 0 500
4 22 7848
5 0 500
4 23 7848
5 0 500
4 24 7848
5 0 500
4 25 7848
5 0 500
4 26 7848
5 0 500
4 27 7848
5 0 500
4 28 7848
5 0 500
4 29 7848
5 0 500
4 30 7848
5 0 500
4 31 7848
5 0 500
9 0 0
7 0 0
8 0 0
6 0 10
6 1 10
6 2 10
6 3 10
6 4 10
6 5 10
6 6 10
6 7 10
6 8 10
6 9 10
6 10 10
6 11 10
6 12 10
6 13 10
6 14 10
6 15 10
6 16 10
6 17 10
6 18 10
6 19 10
6 20 10
6 21 10
6 22 10
6 23 10
6 24 10
6 25 10
6 26 10
6 27 10
6 28 10
6 29 10
6 30 10
6 31 10
2 0 0
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 0
2 11 0
2 12 0
2 13 0
2 14 0
2 15 0
2 16 0
2 17 0
2 18 0
2 19 0
2 20 0
2 21 0
2 22 0
2 23 0
2 24 0
2 25 0
2 26 0
2 27 0
2 28 0
2 29 0
2 30 0
2 31 0
