16 16
1 0 0
3 0 784
4 0 240
5 0 20
1 1 0
3 1 784
4 1 240
5 0 20
1 2 0
3 2 784
4 2 240
5 0 20
1 3 0
3 3 784
4 3 240
5 0 20
1 4 0
3 4 784
4 4 240
5 0 20
1 5 0
3 5 784
4 5 240
5 0 20
1 6 0
3 6 784
4 6 240
5 0 20
1 7 0
3 7 784
4 7 240
5 0 20
1 8 0
3 8 784
4 8 240
5 0 20
1 9 0
3 9 784
4 9 240
5 0 20
1 10 0
3 10 784
4 10 240
5 0 20
1 11 0
3 11 784
4 11 240
5 0 20
1 12 0
3 12 784
4 12 240
5 0 20
1 13 0
3 13 784
4 13 240
5 0 20
1 14 0
3 14 784
4 14 240
5 0 20
1 15 0
3 15 784
4 15 240
5 0 20
12 0 0
7 0 0
4 0 1031
5 0 100
4 1 1031
5 0 100
4 2 1031
5 0 100
4 3 1031
5 0 100
4 4 1031
5 0 100
4 5 1031
5 0 100
4 6 1031
5 0 100
4 7 1031
5 0 100
4 8 1031
5 0 100
4 9 1031
5 0 100
4 10 1031
5 0 100
4 11 1031
5 0 100
4 12 1031
5 0 100
4 13 1031
5 0 100
4 14 1031
5 0 100
4 15 1031
5 0 100
12 0 0
7 0 0
10 0 0
7 0 0
11 0 0
7 0 0
4 0 1031
5 0 100
4 1 1031
5 0 100
4 2 1031
5 0 100
4 3 1031
5 0 100
4 4 1031
5 0 100
4 5 1031
5 0 100
4 6 1031
5 0 100
4 7 1031
5 0 100
4 8 1031
5 0 100
4 9 1031
5 0 100
4 10 1031
5 0 100
4 11 1031
5 0 100
4 12 1031
5 0 100
4 13 1031
5 0 100
4 14 1031
5 0 100
4 15 1031
5 0 100
12 0 0
7 0 0
10 0 0
7 0 0
11 0 0
7 0 0
4 0 7848
5 0 500
4 1 7848
5 0 500
4 2 7848
5 0 500
4 3 7848
5 0 500
4 4 7848
5 0 500
4 5 7848
5 0 500
4 6 7848
5 0 500
4 7 7848
5 0 500
4 8 7848
5 0 500
4 9 7848
5 0 500
4 10 7848
5 0 500
4 11 7848
5 0 500
4 12 7848
5 0 500
4 13 7848
5 0 500
4 14 7848
5 0 500
4 15 7848
5 0 500
9 0 0
7 0 0
8 0 0
6 0 10
6 1 10
6 2 10
6 3 10
6 4 10
6 5 10
6 6 10
6 7 10
6 8 10
6 9 10
6 10 10
6 11 10
6 12 10
6 13 10
6 14 10
6 15 10
2 0 0
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 0
2 11 0
2 12 0
2 13 0
2 14 0
2 15 0
